name,city,statenam,state,year,rincpc,econgrow,unemp,citypop,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,sworn,civil,elecyear,governor,term2,term3,termlim,mayor,murder,rape,robbery,assault,burglary,larceny,auto
austin,3,tx,43,1979,12.16803741,0.006901503,0.042169988,337727,0.074008167,0.072879553,0.073032618,0.101187825,0.144018412,0.112666845,12.1499939,10.26999664,713.4985352,144.6280518,0.725999832,0.153674418,0.062476497,1,0,0,1,0,0,0.012732177,0.063956983,0.170848052,0.195128018,2.299490417,4.853032183,0.46961007
austin,3,tx,43,1980,11.89076996,-0.02305007,0.052249998,343425,0.073279023,0.07161361,0.07161361,0.10049963,0.144152403,0.11528492,12.19999695,10.09999847,702.6694336,127.427124,0.823999882,0.157821941,0.058819247,0,0,0,1,0,1,0.012520929,0.069010701,0.197423018,0.22275606,2.101186576,5.694984349,0.456868312
austin,3,tx,43,1981,12.23790741,0.028775215,0.052919984,357607,0.074094355,0.071935415,0.070502043,0.097646356,0.139535189,0.114194155,12.21999359,10.18999481,675.4672852,134.2133789,0.90899992,0.161629946,0.057045863,0,0,0,1,0,0,0.010905827,0.073544422,0.187076875,0.160511399,2.202138101,5.547430559,0.449935264
austin,3,tx,43,1982,12.11038208,-0.010475159,0.068499982,370331,0.07484144,0.072230279,0.069483519,0.095032036,0.135304689,0.113194704,12.23999786,10.27999878,674.0195313,113.1566162,0.964999676,0.16255728,0.060756458,1,1,0,1,0,1,0.015391636,0.063456745,0.171468227,0.163367366,2.369231849,5.431357353,0.375609927
austin,3,tx,43,1983,11.99247742,-0.009783506,0.079919994,381091,0.075528502,0.072501481,0.068546832,0.092627764,0.131414056,0.1122756,12.25999451,10.36999512,751.3613281,125.5654907,0.995999813,0.154818665,0.063501893,0,0,0,1,0,0,0.015219462,0.062977084,0.174499004,0.14983298,2.090314387,4.956558932,0.373401628
austin,3,tx,43,1984,12.30430603,0.025670052,0.059329987,385237,0.076162457,0.072751701,0.067682564,0.090409279,0.127823949,0.111427486,12.27999878,10.45999908,762.4765625,126.480835,1.038999557,0.162237791,0.068010082,0,0,0,1,0,1,0.015315247,0.068529243,0.199357798,0.14458632,2.17762053,5.216788626,0.437912246
austin,3,tx,43,1985,12.52874756,0.01807642,0.070079982,406469,0.076749265,0.072983325,0.066882551,0.08835578,0.12450099,0.110642433,12.29999542,10.54999542,800.5,126.3141479,1.07599926,0.167540452,0.083155173,1,0,0,1,0,0,0.012793104,0.120304377,0.264718835,0.183531831,2.524423757,5.980283859,0.51959682
austin,3,tx,43,1986,12.31320953,-0.017353535,0.088829994,414220,0.077293992,0.073198318,0.066139936,0.086449564,0.12141633,0.109913707,12.31999969,10.63999939,845.2905273,128.2731934,1.095999718,0.18033895,0.077012216,0,1,0,1,0,0,0.011588045,0.09367003,0.271353387,0.267249288,3.006614842,6.872917773,0.547052291
austin,3,tx,43,1987,12.09947205,-0.017510414,0.084419966,469542,0.077800989,0.073398471,0.065448701,0.084675312,0.118545175,0.109235406,12.33999634,10.72999573,826.5556641,139.822998,1.13599968,0.162072828,0.069003412,0,0,0,1,0,1,0.008305966,0.060484472,0.209778891,0.214038361,2.431518373,6.066762931,0.451929753
austin,3,tx,43,1988,12.33473969,0.019257784,0.073080003,467423,0.078274012,0.073585212,0.06480372,0.083019793,0.115866184,0.108602524,12.35999298,10.81999969,832.4536133,151.8984375,1.182999611,0.168369978,0.059902914,1,0,0,1,0,0,0.009199376,0.052842928,0.217789882,0.256726776,2.565128374,7.285905914,0.453336699
austin,3,tx,43,1989,12.51209259,0.014276028,0.067249954,468907,0.078716516,0.073759854,0.064200521,0.081471503,0.113360643,0.10801065,12.37999725,10.90999603,847.5805664,159.6773682,1.239999771,0.161226,0.058007238,0,0,0,1,0,0,0.006611119,0.050116548,0.217313881,0.281505714,2.380002858,7.156216478,0.577299976
austin,3,tx,43,1990,12.82217407,0.024480104,0.061669976,465622,0.079131186,0.073923528,0.06363517,0.080020308,0.11101228,0.10745585,12.3999939,11,873.7563477,193.572998,1.306999207,0.16494066,0.06292658,0,1,0,1,0,1,0.009879258,0.060134616,0.313773834,0.330525619,2.442109694,7.721928947,0.835656391
austin,3,tx,43,1991,,,0.065999985,475558,0.079520643,0.074077249,0.063104212,0.078657329,0.108806729,0.106934786,12.41999817,11.08999634,847.2324219,234.6862793,,0.170536507,0.066027698,1,0,0,1,0,0,0.010303685,0.058037085,0.326984301,0.228783871,2.437347285,7.237182426,0.996513569
austin,3,tx,43,1992,,,0.074999988,483975,0.079887152,0.074221909,0.062604547,0.077374816,0.106731355,0.106444478,12.43999481,11.18000031,820.7080078,275.7995605,,0.17046335,0.069011829,0,0,0,1,0,0,0.007645023,0.060746939,0.299602252,0.220879178,2.109199855,7.301203575,0.94426365
baltimore,4,md,20,1970,11.53350067,0.019272566,0.033069998,906000,0.083272159,0.099430859,0.103959084,0.090779483,0.081870735,0.069687366,46.3999939,21.59999084,737.1132813,139.1751709,0.388000011,,,0,1,0,0,0,0,0.025496689,0.061258278,1.210264901,0.7901766,2.101655629,3.677483444,1.140507726
baltimore,4,md,20,1971,11.74567413,0.018229246,0.041349977,896666.5,0.081226468,0.096028984,0.10166347,0.091184139,0.083106518,0.071593642,47.23999023,21.62998962,800,177.77771,0.404999971,3424,464,1,0,0,0,0,1,0.036022312,0.059888487,1.057249267,0.731152552,2.06107845,3.617286918,0.996803159
baltimore,4,md,20,1972,12.31100464,0.047008038,0.045439988,895683,0.079200983,0.092660725,0.099390626,0.091584682,0.084330022,0.073481083,48.07998657,21.6599884,815.7890625,203.3492432,0.417999983,3524,558,0,0,0,0,0,0,0.036843392,0.051915689,1.070021425,0.710630882,1.896429875,3.104223258,0.932249468
baltimore,4,md,20,1973,12.81981659,0.040498734,0.038969994,892600,0.077195525,0.089325666,0.097140133,0.091981351,0.085541546,0.075349927,48.91998291,21.68998718,844.5942383,222.9729004,0.444000006,3571,628,0,0,0,0,0,0,0.031369034,0.0559041,0.964821869,0.718686982,1.748375532,2.889872283,0.923369931
baltimore,4,md,20,1974,12.62068939,-0.015654802,0.046869993,885634,0.075209677,0.086023331,0.094911635,0.092374146,0.086741149,0.077200413,49.75997925,21.71998596,803.2451172,212.9816895,0.492999792,3527,623,0,1,0,0,0,0,0.033083644,0.054875942,1.152620609,0.720274967,2.12164393,3.48507397,1.040384628
baltimore,4,md,20,1975,12.41077423,-0.016772032,0.066919982,864100,0.073243201,0.082753181,0.092704952,0.092763066,0.08792901,0.079032898,50.59997559,21.75,910.7802734,206.3197021,0.53799963,3377,570,1,0,0,0,1,1,0.029973383,0.053581761,1.047911121,0.730123828,1.826987617,3.580141187,0.879759287
baltimore,4,md,20,1976,12.83128357,0.033320904,0.067369998,860974,0.071295798,0.079514742,0.090519667,0.093148232,0.089105427,0.080847561,51.43997192,21.77999878,908.6113281,217.9261475,0.568999767,3455,556,0,0,0,0,1,0,0.023229505,0.053427862,0.900724064,0.67086811,1.77926395,3.735536729,0.683760485
baltimore,4,md,20,1977,13.03465271,0.015725136,0.060609996,827494,0.06936723,0.076307595,0.088355482,0.093529701,0.0902704,0.082644701,52.27999878,21.80999756,938.9438477,234.3233643,0.605999947,3410,601,0,0,0,0,1,0,0.020664802,0.060302552,0.913964331,0.731123126,1.843759592,3.813924935,0.747679137
baltimore,4,md,20,1978,13.41717529,0.028924465,0.056249976,781730,0.067457199,0.073131323,0.086212099,0.093907475,0.091424227,0.084424615,53.11999512,21.83999634,891.1040039,222.3925781,0.65199995,3337,575,0,1,0,0,1,0,0.025200517,0.070868458,1.035779617,0.743351285,2.020262751,4.2389316,0.751410333
baltimore,4,md,20,1979,13.30991364,-0.0080266,0.059079975,790901,0.065565407,0.06998539,0.08408922,0.094281614,0.092567027,0.086187422,53.95999146,21.86999512,844.3525391,216.253418,0.725999832,3171,555,1,0,0,0,0,1,0.030977328,0.071311074,1.072447753,0.787962084,2.13870004,4.366791798,0.85585933
baltimore,4,md,20,1980,13.0946579,-0.016304731,0.064749956,784554,0.063691616,0.066869438,0.081986547,0.094652236,0.093698919,0.087933481,54.79998779,21.8999939,774.2714844,217.2329102,0.823999882,3171,555,0,0,0,0,0,0,0.027531566,0.071378133,1.277158742,0.736087,2.250832957,4.697445937,0.716330552
